InputID,TargetID,Distance
14,4,629.162871192
18,4,1087.32451246
4,4,208.843636566
9,4,1001.23674027
5,8,2669.90125047
1,4,1334.43476635
12,8,2396.62124795
19,4,1077.75023723
8,19,2891.99235503
